id,group_id,group_name,collection,object_name,object_type,material,geometry_strategy,biological_function,animation_function,integration_points,pivot_origin,dependencies,roblox_export_note,optional,pass_criteria,blender_ai_prompt
ENV_OUT_03,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_03,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 3 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_03` and `NE_PerinuclearLumen_Segment_03`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_03` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_04,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_04,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 4 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_04` and `NE_PerinuclearLumen_Segment_04`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_04` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_05,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_05,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 5 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_05` and `NE_PerinuclearLumen_Segment_05`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_05` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_06,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_06,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 6 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_06` and `NE_PerinuclearLumen_Segment_06`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_06` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_07,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_07,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 7 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_07` and `NE_PerinuclearLumen_Segment_07`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_07` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_OUT_08,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_OuterMembrane_Panel_08,Curved thick spherical shell panel,MAT_OuterMembrane_Purple,"One of 8 thick outer nuclear membrane panels, radius about 3.2 BU, with rounded bevels and small pore sockets. Segment 8 aligns with matching inner panel and lumen band.",Outer nuclear membrane; cytoplasmic-facing part of the double nuclear envelope.,Splits outward during mitotic nuclear envelope breakdown; returns during reassembly.,Align with `NE_InnerMembrane_Panel_08` and `NE_PerinuclearLumen_Segment_08`; contains NPC sockets.,Origin at panel local center; transform should separate outward from nucleus center.,ROOT_001;ROOT_002,Export as separate mesh for mitosis panel animation.,False,"Panel has thickness, bevels, pore sockets, and does not merge with other panels.",Create `NE_OuterMembrane_Panel_08` as a thick curved spherical shell segment. Use purple satin material with procedural bump. Add shallow circular sockets for NPC placement and clean seams for animation.
ENV_IN_01,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_01,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_01;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_01` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_01` but keep perinuclear gap clear.
ENV_IN_02,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_02,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_02;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_02` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_02` but keep perinuclear gap clear.
ENV_IN_03,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_03,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_03;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_03` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_03` but keep perinuclear gap clear.
ENV_IN_04,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_04,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_04;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_04` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_04` but keep perinuclear gap clear.
ENV_IN_05,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_05,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_05;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_05` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_05` but keep perinuclear gap clear.
ENV_IN_06,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_06,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_06;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_06` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_06` but keep perinuclear gap clear.
ENV_IN_07,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_07,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_07;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_07` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_07` but keep perinuclear gap clear.
ENV_IN_08,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_InnerMembrane_Panel_08,Curved thick inner spherical shell panel,MAT_InnerMembrane_DeepPurple,"One of 8 smaller-radius inner membrane panels, radius about 2.95 BU, aligned under the matching outer panel.",Inner nuclear membrane; lines nucleoplasm and connects to lamina support.,Separates slightly after outer membrane during breakdown; reassembles before nucleoplasm becomes sealed.,Maintain visible gap to outer panel and attach lamina under this panel.,Origin at panel local center; outward split direction follows panel normal.,ENV_OUT_08;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,False,Inner panel is visually separate from outer panel and preserves the lumen gap.,Create `NE_InnerMembrane_Panel_08` as a darker purple inner shell segment with thickness and smooth bevels. Match curvature of `NE_OuterMembrane_Panel_08` but keep perinuclear gap clear.
ENV_LUMEN_01,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_01,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_01` and `NE_InnerMembrane_Panel_01`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_01;ENV_IN_01,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_01` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_02,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_02,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_02` and `NE_InnerMembrane_Panel_02`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_02;ENV_IN_02,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_02` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_03,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_03,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_03` and `NE_InnerMembrane_Panel_03`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_03;ENV_IN_03,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_03` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_04,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_04,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_04` and `NE_InnerMembrane_Panel_04`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_04;ENV_IN_04,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_04` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_05,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_05,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_05` and `NE_InnerMembrane_Panel_05`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_05;ENV_IN_05,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_05` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_06,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_06,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_06` and `NE_InnerMembrane_Panel_06`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_06;ENV_IN_06,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_06` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_07,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_07,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_07` and `NE_InnerMembrane_Panel_07`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_07;ENV_IN_07,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_07` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_LUMEN_08,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PerinuclearLumen_Segment_08,Transparent curved lumen segment,MAT_PerinuclearLumen_AmberGlow,One of 8 translucent bands occupying the space between outer and inner membrane panels.,"Represents the perinuclear space, continuous with ER lumen.",Glows softly in interphase; separates with membrane panels during breakdown.,Position between `NE_OuterMembrane_Panel_08` and `NE_InnerMembrane_Panel_08`.,"Origin at segment center, same split direction as envelope panels.",ENV_OUT_08;ENV_IN_08,Can be simplified to a colored transparent mesh in Roblox.,False,"The gap reads as a space, not a solid extra membrane.",Create `NE_PerinuclearLumen_Segment_08` as an amber transparent curved band between the matching outer and inner membrane panels. Keep alpha low but visible from cutaway.
ENV_TRIM_01,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_Cutaway_OuterEdge_Rim,Rim/seam mesh,MAT_OuterMembrane_Purple,Rounded rim around the cutaway edge of the outer membrane.,Shows membrane thickness and keeps the cutaway polished.,Follows outer panels; may be hidden in full closed mode.,Attach to edges of removed/open outer panels.,Origin follows associated panel or nucleus center.,ENV_OUT_01;ENV_OUT_02,Export if cutaway view is part of Roblox model.,False,"Cutaway edge looks intentional, not broken geometry.",Create a rounded rim cap along the visible outer membrane cutaway edge. Use same purple material and bevels.
ENV_TRIM_02,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_Cutaway_InnerEdge_Rim,Rim/seam mesh,MAT_InnerMembrane_DeepPurple,Rounded rim around the cutaway edge of the inner membrane.,Shows inner membrane thickness.,Follows inner panels during cutaway/mitosis.,Attach to inner membrane cutaway edge.,Origin follows associated panel or nucleus center.,ENV_IN_01;ENV_IN_02,Export if cutaway view is part of Roblox model.,False,Inner rim is separate and darker than outer rim.,Create a darker rounded rim cap along the inner membrane cutaway edge.
ENV_TRIM_03,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_Cutaway_Lumen_EdgeGlow,Rim/seam mesh,MAT_PerinuclearLumen_AmberGlow,Thin glowing trim showing the perinuclear space at cutaway.,Highlights the space between membranes.,Pulses in review mode; follows envelope breakdown.,Sits between outer and inner cutaway rims.,Origin follows associated panel or nucleus center.,ENV_TRIM_01;ENV_TRIM_02,Can be approximated with Neon material in Roblox.,False,The double membrane gap is obvious at cutaway edge.,Create a thin amber transparent edge strip between cutaway rims to emphasize perinuclear space.
ENV_SEAM_01,G02,NuclearEnvelope_DoubleMembrane,02_NUCLEAR_ENVELOPE,NE_PanelSeam_Bevels,Rim/seam mesh,MAT_InnerMembrane_DeepPurple,Subtle darker seam strips between shell panels.,Shows panelization for animation while preserving full envelope shape.,Seams separate as panels move in mitosis.,Between outer/inner membrane panel boundaries.,Origin follows associated panel or nucleus center.,ENV_OUT_01,Optional; can be omitted for low LOD.,True,Seams are visible but not distracting.,Create subtle bevel seam strips along panel boundaries for the nuclear envelope.
NPC_M_001,G03,NuclearPoreComplex_System,03_NUCLEAR_PORE_SYSTEM,NPC_Master_Root,Empty,MAT_NPC_Protein_Violet,Root empty for one reusable nuclear pore complex module.,Coordinates all NPC subparts.,Used to duplicate/place each NPC around envelope.,Parent all NPC subparts under this root; align root normal to envelope surface.,Local origin at NPC center; local Z points through membrane.,,Use as source for duplicated NPC modules.,False,One NPC module can be duplicated without breaking subpart alignment.,Create an `NPC_Master_Root` empty. Build all nuclear pore subparts around local Z axis so Z points through the membrane.
