Component ID,Object Name,Group,Pass Criteria,Dependencies,Roblox Export Note,Reviewer Status
ENV_IN_02,NE_InnerMembrane_Panel_02,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_02;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_03,NE_InnerMembrane_Panel_03,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_03;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_04,NE_InnerMembrane_Panel_04,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_04;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_05,NE_InnerMembrane_Panel_05,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_05;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_06,NE_InnerMembrane_Panel_06,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_06;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_07,NE_InnerMembrane_Panel_07,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_07;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_IN_08,NE_InnerMembrane_Panel_08,NuclearEnvelope_DoubleMembrane,Inner panel is visually separate from outer panel and preserves the lumen gap.,ENV_OUT_08;ROOT_001,Export as separate mesh; avoid single-sided surfaces.,
ENV_LUMEN_01,NE_PerinuclearLumen_Segment_01,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_01;ENV_IN_01,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_02,NE_PerinuclearLumen_Segment_02,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_02;ENV_IN_02,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_03,NE_PerinuclearLumen_Segment_03,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_03;ENV_IN_03,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_04,NE_PerinuclearLumen_Segment_04,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_04;ENV_IN_04,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_05,NE_PerinuclearLumen_Segment_05,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_05;ENV_IN_05,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_06,NE_PerinuclearLumen_Segment_06,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_06;ENV_IN_06,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_07,NE_PerinuclearLumen_Segment_07,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_07;ENV_IN_07,Can be simplified to a colored transparent mesh in Roblox.,
ENV_LUMEN_08,NE_PerinuclearLumen_Segment_08,NuclearEnvelope_DoubleMembrane,"The gap reads as a space, not a solid extra membrane.",ENV_OUT_08;ENV_IN_08,Can be simplified to a colored transparent mesh in Roblox.,
ENV_TRIM_01,NE_Cutaway_OuterEdge_Rim,NuclearEnvelope_DoubleMembrane,"Cutaway edge looks intentional, not broken geometry.",ENV_OUT_01;ENV_OUT_02,Export if cutaway view is part of Roblox model.,
ENV_TRIM_02,NE_Cutaway_InnerEdge_Rim,NuclearEnvelope_DoubleMembrane,Inner rim is separate and darker than outer rim.,ENV_IN_01;ENV_IN_02,Export if cutaway view is part of Roblox model.,
ENV_TRIM_03,NE_Cutaway_Lumen_EdgeGlow,NuclearEnvelope_DoubleMembrane,The double membrane gap is obvious at cutaway edge.,ENV_TRIM_01;ENV_TRIM_02,Can be approximated with Neon material in Roblox.,
ENV_SEAM_01,NE_PanelSeam_Bevels,NuclearEnvelope_DoubleMembrane,Seams are visible but not distracting.,ENV_OUT_01,Optional; can be omitted for low LOD.,
NPC_M_001,NPC_Master_Root,NuclearPoreComplex_System,One NPC module can be duplicated without breaking subpart alignment.,,Use as source for duplicated NPC modules.,
NPC_M_002,NPC_Cytoplasmic_Ring,NuclearPoreComplex_System,Ring is torus-like and clearly protein-based.,NPC_M_001,Duplicate/instance for each NPC.,
NPC_M_003,NPC_Nuclear_Ring,NuclearPoreComplex_System,Nuclear ring is aligned with cytoplasmic ring across the envelope.,NPC_M_001,Duplicate/instance for each NPC.,
NPC_M_004,NPC_Scaffold_Lobes_8,NuclearPoreComplex_System,Eight lobes are visible from close camera.,NPC_M_002;NPC_M_003,Could be joined per NPC for fewer parts after review.,
NPC_M_005,NPC_CentralGate_GelPlug,NuclearPoreComplex_System,Gate is visible but still suggests permeability.,NPC_M_002;NPC_M_003,Can be a simple transparent mesh in Roblox.,
NPC_M_006,NPC_Cytoplasmic_Filaments,NuclearPoreComplex_System,Filaments are visible on selected close-up NPCs.,NPC_M_002,Use only on LOD0/close pores.,
NPC_M_007,NPC_Nuclear_Basket,NuclearPoreComplex_System,Basket shape is readable in close-up/cutaway.,NPC_M_003,Use on selected NPCs only for performance.,
NPC_M_008,NPC_Membrane_Collar,NuclearPoreComplex_System,Collar helps explain the NPC perforates both membranes.,NPC_M_002;NPC_M_003,Important for teaching double-membrane perforation.,
NPC_I_001,NPC_Instance_001,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_002,NPC_Instance_002,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_003,NPC_Instance_003,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_004,NPC_Instance_004,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_005,NPC_Instance_005,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_006,NPC_Instance_006,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_007,NPC_Instance_007,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_008,NPC_Instance_008,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_009,NPC_Instance_009,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_010,NPC_Instance_010,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_011,NPC_Instance_011,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_012,NPC_Instance_012,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_013,NPC_Instance_013,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_014,NPC_Instance_014,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_015,NPC_Instance_015,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_016,NPC_Instance_016,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_017,NPC_Instance_017,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_018,NPC_Instance_018,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_019,NPC_Instance_019,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_020,NPC_Instance_020,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_021,NPC_Instance_021,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_022,NPC_Instance_022,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_023,NPC_Instance_023,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_024,NPC_Instance_024,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_025,NPC_Instance_025,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_026,NPC_Instance_026,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_027,NPC_Instance_027,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_028,NPC_Instance_028,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_029,NPC_Instance_029,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_030,NPC_Instance_030,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_031,NPC_Instance_031,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
NPC_I_032,NPC_Instance_032,NuclearPoreComplex_System,NPC is flush with membrane and not floating above or buried inside.,NPC_M_001;ENV_OUT_01;ENV_IN_01,May be combined into fewer meshes for LOD1/LOD2 after validation.,
LAM_001,Lamina_Geodesic_BaseNet,NuclearLamina_SupportMesh,Lamina is inside the envelope and follows the inner membrane curvature.,ENV_IN_01;ROOT_001,Curves can be converted to mesh for export.,
LAM_TILE_01,Lamina_Tile_01,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_02,Lamina_Tile_02,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_03,Lamina_Tile_03,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_04,Lamina_Tile_04,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_05,Lamina_Tile_05,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_06,Lamina_Tile_06,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_07,Lamina_Tile_07,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_08,Lamina_Tile_08,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_09,Lamina_Tile_09,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_10,Lamina_Tile_10,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_11,Lamina_Tile_11,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_TILE_12,Lamina_Tile_12,NuclearLamina_SupportMesh,Tile reads as part of one continuous mesh but can animate independently.,LAM_001;ENV_IN_01,Keep as separate low-poly tube mesh for animation.,
LAM_013,Lamina_ChromatinAnchor_Nodes,NuclearLamina_SupportMesh,Anchor nodes touch lamina and point toward chromatin.,LAM_001,Small simple spheres in Roblox.,
LAM_014,Lamina_Disassembly_Fragments,NuclearLamina_SupportMesh,Fragments clearly come from lamina lattice.,LAM_001,Use few fragments for performance.,
NUCPL_001,Nucleoplasm_GlassVolume,Nucleoplasm_InternalMedium,Nucleoplasm is visible but does not hide genome structures.,ENV_IN_01,Can be optional/low alpha in Roblox.,
NUCPL_002,Nucleoplasm_ParticleField,Nucleoplasm_InternalMedium,Particles remain inside nuclear boundary and are not too dense.,NUCPL_001,Use fewer in Roblox; optional in LOD1.,
NUCPL_003,Nucleoplasm_FlowCurves,Nucleoplasm_InternalMedium,Flow curves add depth without implying bulk leakage.,NUCPL_001,Optional for Roblox.,
GEN_CHR_001,Euchromatin_LooseLoop_Set_A,GenomeSystem_Chromatin_Chromosomes,All chromatin remains inside the nucleus and reads as DNA/protein packaging.,NUCPL_001;LAM_013,Curves can be converted to mesh; keep strands not too thin for Roblox.,
GEN_CHR_002,Euchromatin_LooseLoop_Set_B,GenomeSystem_Chromatin_Chromosomes,All chromatin remains inside the nucleus and reads as DNA/protein packaging.,NUCPL_001;LAM_013,Curves can be converted to mesh; keep strands not too thin for Roblox.,
GEN_CHR_003,Heterochromatin_PeripheralBand_Set_A,GenomeSystem_Chromatin_Chromosomes,All chromatin remains inside the nucleus and reads as DNA/protein packaging.,NUCPL_001;LAM_013,Curves can be converted to mesh; keep strands not too thin for Roblox.,
GEN_CHR_004,Heterochromatin_PeripheralBand_Set_B,GenomeSystem_Chromatin_Chromosomes,All chromatin remains inside the nucleus and reads as DNA/protein packaging.,NUCPL_001;LAM_013,Curves can be converted to mesh; keep strands not too thin for Roblox.,
GEN_CHR_005,Chromatin_BackgroundThread_Set,GenomeSystem_Chromatin_Chromosomes,All chromatin remains inside the nucleus and reads as DNA/protein packaging.,NUCPL_001;LAM_013,Curves can be converted to mesh; keep strands not too thin for Roblox.,
GEN_TX_01,TranscriptionHotspot_01,GenomeSystem_Chromatin_Chromosomes,"RNA appears from chromatin, but DNA strand remains inside nucleus.",GEN_CHR_001;NUCPL_001,Good target for Roblox click/tap explanation.,
GEN_TX_02,TranscriptionHotspot_02,GenomeSystem_Chromatin_Chromosomes,"RNA appears from chromatin, but DNA strand remains inside nucleus.",GEN_CHR_001;NUCPL_001,Good target for Roblox click/tap explanation.,
GEN_TX_03,TranscriptionHotspot_03,GenomeSystem_Chromatin_Chromosomes,"RNA appears from chromatin, but DNA strand remains inside nucleus.",GEN_CHR_001;NUCPL_001,Good target for Roblox click/tap explanation.,
GEN_CHROMO_01,CondensedChromosome_01,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_02,CondensedChromosome_02,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_03,CondensedChromosome_03,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_04,CondensedChromosome_04,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_05,CondensedChromosome_05,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_06,CondensedChromosome_06,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_07,CondensedChromosome_07,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_CHROMO_08,CondensedChromosome_08,GenomeSystem_Chromatin_Chromosomes,Chromosome is recognizable as condensed DNA and distinct from loose chromatin.,GEN_CHR_005;ROOT_001,Separate mesh for animation; can be simplified for Roblox.,
GEN_MORPH_001,Chromatin_Condensation_PathCurves,GenomeSystem_Chromatin_Chromosomes,Paths do not imply DNA leaves nucleus.,GEN_CHR_005,"Helper-only, not exported.",
GEN_RNA_001,RNA_Product_SpawnMarkers,GenomeSystem_Chromatin_Chromosomes,RNA spawn points are clearly inside nucleus.,GEN_TX_01,Roblox can use these as spawn Attachment objects.,
NOL_001,Nucleolus_Root,Nucleolus_Subregions,Nucleolus has no surrounding membrane shell.,,Can be parented under Nucleus_RootRig.,
NOL_002,Nucleolus_FibrillarCenter,Nucleolus_Subregions,"Reads as internal region, not a separate organelle.",NOL_001,Could be merged with nucleolus for low LOD.,
NOL_003,Nucleolus_DenseFibrillar_Component,Nucleolus_Subregions,"Subregion boundary is texture/color, not membrane.",NOL_002,Important for high-detail educational LOD.,
NOL_004,Nucleolus_GranularOuterRegion,Nucleolus_Subregions,Outer nucleolus is dense and bumpy with no membrane envelope.,NOL_001,Export as separate mesh.,
NOL_005,Nucleolus_rRNA_RibosomeMarkers,Nucleolus_Subregions,"Particles travel outward as ribosomal cargo, not DNA.",NOL_004;NPC_I_001,Use as Roblox animated particles/objects.,
NOL_006,Nucleolus_Mitosis_DissolveParticles,Nucleolus_Subregions,"Dissolve reads as non-membrane reorganization, not membrane rupture.",NOL_004,Optional in Roblox; could be particle emitter.,
TRN_001,ProteinImport_PathCurve_01,NucleocytoplasmicTransport_CargoPaths,"Path crosses envelope only at NPC, not through membrane wall.",NPC_I_001,Use as Roblox tween path reference.,
TRN_002,ProteinCargo_NLS_Set,NucleocytoplasmicTransport_CargoPaths,Cargo direction is clearly outside-to-inside.,TRN_001,Separate mesh pieces for animation.,
TRN_003,RNAExport_PathCurve_01,NucleocytoplasmicTransport_CargoPaths,RNA goes out; DNA remains inside.,NPC_I_002;GEN_RNA_001,Use as Roblox tween path reference.,
TRN_004,mRNA_Cargo_Squiggle_Set,NucleocytoplasmicTransport_CargoPaths,mRNA exits but chromatin does not.,TRN_003,Separate curves converted to mesh for Roblox.,
TRN_005,RibosomalSubunit_Export_Cargo,NucleocytoplasmicTransport_CargoPaths,"Ribosomal cargo exits as particles/subunits, not as DNA.",NOL_005;NPC_I_003,Useful as educational animation.,
TRN_006,SmallSolute_DiffusionDots,NucleocytoplasmicTransport_CargoPaths,Dots are subtle and do not confuse cargo categories.,NPC_I_004,Optional low-detail animation.,
TRN_007,Transport_DirectionArrows,NucleocytoplasmicTransport_CargoPaths,Arrows are readable but can be hidden for realistic mode.,TRN_001;TRN_003,Can be UI-only in Roblox.,
TRN_008,NPC_GatePulse_Controller,NucleocytoplasmicTransport_CargoPaths,Gate pulse happens only when cargo crosses.,NPC_M_005;TRN_001;TRN_003,Roblox script can mirror this with named events.,
ER_001,OuterEnvelope_ER_Bridge,RoughER_ContinuityConnection,"Bridge is physically connected to outer membrane, not just nearby.",ENV_OUT_06,Separate mesh but visually touching outer membrane.,
ER_002,RoughER_Sheet_Upper,RoughER_ContinuityConnection,Rough ER sheet has ribosome dots and folded surface.,ER_001,Can be simplified in Roblox.,
ER_003,RoughER_Sheet_Lower,RoughER_ContinuityConnection,Supports context but does not block nucleus.,ER_001,Optional for low LOD.,
ER_004,ER_Lumen_Continuity_Band,RoughER_ContinuityConnection,Lumen continuity is visually clear at the connection.,ENV_LUMEN_06;ER_001,Important educational cue.,
ER_005,Ribosome_Dot_Set_ER,RoughER_ContinuityConnection,Orange dots look attached to ER surface.,ER_002;ER_003,Use instancing or merged low-poly mesh.,
ER_006,ER_Mitosis_Disconnect_Seam,RoughER_ContinuityConnection,Seam appears only during mitosis/review mode.,ER_001;ENV_OUT_06,Optional.,
MITO_001,Envelope_Fragment_Shards_Set,MitosisBreakdown_ReassemblyParts,Fragments match envelope material and motion direction.,ENV_OUT_01;ENV_IN_01,Keep count moderate for Roblox.,
MITO_002,Envelope_Vesicle_Bubbles_Set,MitosisBreakdown_ReassemblyParts,Vesicles are distinct from cargo particles.,MITO_001,Optional for LOD1.,
MITO_003,NPC_Fragment_Detached_Set,MitosisBreakdown_ReassemblyParts,Pore fragments are violet and linked to NPC locations.,NPC_M_001;NPC_I_001,Optional but useful for biology animation.,
MITO_004,Lamina_Fragment_Set,MitosisBreakdown_ReassemblyParts,Fragments match lamina color and originate under inner membrane.,LAM_014,Use fewer fragments than lamina tiles.,
MITO_005,Reassembly_Target_Sockets,MitosisBreakdown_ReassemblyParts,Reassembly returns pieces to exact interphase positions.,ROOT_001,Can map to Roblox attachments.,
MITO_006,Mitosis_Stage_Cards,MitosisBreakdown_ReassemblyParts,Labels are optional and can be hidden.,ROOT_001,UI-only; not needed for core export.,
HOT_001,Hotspot_Transport,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
HOT_002,Hotspot_Transcription,Hotspots_Labels_ReviewUI,Hotspot is readable and can be hidden.,ROOT_001,Roblox ClickDetector/ProximityPrompt target.,
